Time [s],Packet,Type,Identifier,Control,Data,CRC,ACK
0.009886291666667,0,DATA,0x5D5,0x1,0xC6,,
0.011909000000000,1,DATA,0x1EA4C63D,0x4,0x31 0x98 0x43 0x08,0x2108,NAK
0.049863916666667,2,DATA,0x555,0x1,0xC6,,
0.069864458333333,3,DATA,0x5D5,0x1,0xC6,0x11E4,ACK
0.089861083333333,4,DATA,0x5D5,0x1,0xC6,0x19E4,ACK
0.109861625000000,5,REMOTE,0x1EA87188,0x9,,0x0623,ACK
0.111860875000000,6,DATA,0x575,0xC,0xC6 0x25 0x68 0x63 0x30 0x86 0x10 0x84,0x1084,ACK
0.131861416666667,7,DATA,0x5B5,0xD,0xC4 0x33 0xC8 0x62 0x30 0x86 0x10 0x84,0x10DC,ACK
0.149890000000000,8,DATA,0x575,0x1,0xC6,0x15E4,ACK
0.169863208333333,9,DATA,0x5D5,0x1,0xC6,0x1DE4,ACK
0.189863750000000,10,REMOTE,0x1EA8718A,0x9,,0x0623,ACK
0.191863000000000,11,DATA,0x515,0xD,0xC4 0x3D 0x88 0x63 0x10 0x86 0x10 0x84,0x10C4,NAK
0.192683041666667,12,REMOTE,0x652,0xC,,0x21EC,NAK
0.209864291666667,13,REMOTE,0x1EA8718E,0x9,,0x0623,ACK
0.211863541666667,14,DATA,0x17EB318D,0xD,0x0C 0x66 0x10 0xC2 0x10 0x84 0x21 0x08,0x2108,NAK
0.231864083333333,15,DATA,0x795,0xE,0xC4 0x33 0xC8 0x72 0x97 0xCC 0x67 0xD2,0x6AB0,ACK
0.232926166666667,16,DATA,0x715,0x2,0xA4 0xB1,0x1421,ACK
0.251864625000000,17,REMOTE,0x1E28F10C,0x9,,0x0637,ACK
0.269865875000000,18,REMOTE,0x1EA87188,0x9,,0x0623,ACK
0.271865125000000,19,DATA,0x555,0x2,0xC4 0x33,0x6421,ACK
0.289889833333333,20,REMOTE,0x1FA8718C,0x9,,0x0623,ACK
0.291889083333333,21,DATA,0x56D,0x9,0xC6 0x3B 0xC8 0x62 0xB0 0x86 0x10 0x84,0x30CC,ACK
0.293779041666667,22,DATA,0x1297109C,0x0,,0x625C,NAK
0.309866916666667,23,DATA,0x575,0x1,0xC6,0x15E4,ACK
0.369868541666667,24,REMOTE,0x1EA8718E,0x9,,0x0623,ACK
0.389869041666667,25,DATA,0x575,0x1,0xC6,0x13E8,NAK
0.409869583333333,26,DATA,0x5D5,0x1,0xC6,0x1BE8,NAK
0.489871708333333,27,DATA,0x5D5,0x1,0xC6,,
0.509868333333333,28,DATA,0x5D5,0x1,0xC6,0x17C8,NAK
0.530150000000000,29,REMOTE,0x500,0x6,,0x0842,ACK
0.549869416666667,30,REMOTE,0x1EA87189,0xA,,0x0C46,ACK
0.569897250000000,31,DATA,0x575,0x1,0xC6,0x1BE8,NAK
0.650153208333333,32,DATA,0x04306108,0x1,0x08,0x2108,NAK
0.669872583333333,33,DATA,0x555,0x1,0xC6,0x17C8,NAK
0.690154250000000,34,REMOTE,0x500,0x6,,0x0842,ACK
0.709901000000000,35,DATA,0x1EA87188,0x9,0x0C 0x46 0x10 0x84 0x21 0x08 0x42 0x10,0x4210,ACK
0.711900250000000,36,DATA,0x575,0xC,0xC6 0x2D 0x68 0x63 0x30 0x86 0x10 0x84,0x1084,ACK
0.791875041666667,37,REMOTE,0x1529710D,0x1,,0x0625,NAK
0.831876125000000,38,REMOTE,0x1EA8B108,0x9,,0x0437,ACK
0.849900791666667,39,DATA,0x555,0x1,0xC6,0x1CA4,ACK
0.869877916666667,40,DATA,0x1EA87188,0x9,0x0C 0x46 0x10 0x84 0x21 0x08,,
1.131903625000000,41,REMOTE,0x1FAB7108,0x9,,0x0623,ACK
1.149881458333333,42,DATA,0x1EA8718B,0x9,0x0C 0x46 0x10 0x84 0x21 0x08 0x42 0x10,,
1.189882500000000,43,DATA,0x5D5,0x1,0xC6,0x12A4,ACK
1.231882833333333,44,DATA,0x595,0xE,0xC4 0x23 0xC8 0x72 0x97 0xCC 0x67 0xD2,0x6AB0,ACK
1.232944958333333,45,DATA,0x795,0x2,0xA4 0xA9,0x1421,ACK
1.249884083333333,46,DATA,0x575,0x1,,,
1.269904166666667,47,DATA,0x1EA8718B,0x9,0x0C 0x46 0x10 0x84 0x21 0x08 0x42 0x10,0x4210,ACK
1.769890083333333,48,DATA,0x05F8718F,0x9,0x0C 0x46 0x10 0x84 0x21 0x08 0x42 0x10,0x4210,ACK
1.789890625000000,49,DATA,0x575,0x1,0xC6,0x16A4,ACK
1.791889916666667,50,REMOTE,0x1F29710F,0x0,,0x1897,ACK
1.809891166666667,51,DATA,0x5D5,0x1,0xC6,0x1EA4,ACK
1.813936583333333,52,DATA,0x084,0x0,,0x5A10,ACK
1.829919041666667,53,DATA,0x1EA87189,0x9,0x0C 0x46,,
